EngagementNumber,StartDate,EndDate,StartTime,StopTime,ContractPrice,CustomerID,AgentID,EntertainerID
2,02/09/2017,06/09/2017,00/01/1900,00/01/1900,200.00,10006,4,1004
3,11/09/2017,16/09/2017,00/01/1900,00/01/1900,590.00,10001,3,1005
4,12/09/2017,18/09/2017,00/01/1900,01/01/1900,470.00,10007,3,1004
5,12/09/2017,15/09/2017,00/01/1900,00/01/1900,"1,130.00",10006,5,1003
6,11/09/2017,15/09/2017,00/01/1900,00/01/1900,"2,300.00",10014,7,1008
7,12/09/2017,19/09/2017,00/01/1900,00/01/1900,770.00,10004,4,1002
8,19/09/2017,26/09/2017,00/01/1900,00/01/1900,"1,850.00",10006,3,1007
9,19/09/2017,29/09/2017,00/01/1900,00/01/1900,"1,370.00",10010,2,1010
10,18/09/2017,27/09/2017,00/01/1900,00/01/1900,"3,650.00",10005,3,1003
11,16/09/2017,17/09/2017,00/01/1900,00/01/1900,950.00,10005,4,1008
12,19/09/2017,27/09/2017,00/01/1900,00/01/1900,"1,670.00",10014,8,1001
13,18/09/2017,21/09/2017,00/01/1900,00/01/1900,770.00,10003,1,1006
14,25/09/2017,30/09/2017,00/01/1900,00/01/1900,"2,750.00",10001,1,1008
15,25/09/2017,30/09/2017,00/01/1900,00/01/1900,770.00,10007,1,1013
16,03/10/2017,07/10/2017,00/01/1900,00/01/1900,"1,550.00",10010,5,1013
17,30/09/2017,03/10/2017,00/01/1900,00/01/1900,530.00,10002,8,1010
19,30/09/2017,06/10/2017,00/01/1900,00/01/1900,365.00,10009,8,1004
21,01/10/2017,04/10/2017,00/01/1900,00/01/1900,"1,490.00",10005,1,1003
22,01/10/2017,06/10/2017,00/01/1900,00/01/1900,590.00,10004,5,1002
23,01/10/2017,01/10/2017,00/01/1900,01/01/1900,290.00,10012,4,1013
24,02/10/2017,08/10/2017,00/01/1900,00/01/1900,"1,940.00",10001,4,1001
26,10/10/2017,15/10/2017,00/01/1900,00/01/1900,950.00,10001,6,1002
27,08/10/2017,13/10/2017,00/01/1900,00/01/1900,"2,210.00",10015,7,1003
28,07/10/2017,16/10/2017,00/01/1900,00/01/1900,"3,800.00",10003,4,1007
30,07/10/2017,09/10/2017,00/01/1900,00/01/1900,275.00,10009,5,1011
31,08/10/2017,17/10/2017,00/01/1900,00/01/1900,"2,450.00",10002,8,1010
32,08/10/2017,17/10/2017,00/01/1900,00/01/1900,"1,250.00",10010,7,1013
34,15/10/2017,21/10/2017,00/01/1900,00/01/1900,680.00,10004,8,1005
35,15/10/2017,16/10/2017,00/01/1900,00/01/1900,410.00,10005,8,1001
36,14/10/2017,24/10/2017,00/01/1900,00/01/1900,710.00,10014,3,1011
37,14/10/2017,20/10/2017,00/01/1900,00/01/1900,"2,675.00",10006,3,1008
38,15/10/2017,19/10/2017,00/01/1900,00/01/1900,"1,850.00",10013,4,1006
41,21/10/2017,29/10/2017,00/01/1900,00/01/1900,860.00,10013,3,1002
42,21/10/2017,27/10/2017,00/01/1900,00/01/1900,"2,150.00",10002,1,1013
43,22/10/2017,22/10/2017,00/01/1900,00/01/1900,140.00,10001,8,1001
44,23/10/2017,27/10/2017,00/01/1900,00/01/1900,"1,925.00",10006,3,1008
45,22/10/2017,29/10/2017,00/01/1900,00/01/1900,530.00,10015,1,1012
46,29/10/2017,06/11/2017,00/01/1900,00/01/1900,"1,400.00",10009,4,1008
48,06/11/2017,07/11/2017,00/01/1900,00/01/1900,950.00,10002,1,1007
49,14/11/2017,20/11/2017,00/01/1900,00/01/1900,680.00,10014,5,1001
51,14/11/2017,15/11/2017,00/01/1900,00/01/1900,650.00,10013,3,1013
52,14/11/2017,15/11/2017,00/01/1900,00/01/1900,650.00,10010,3,1006
53,12/11/2017,13/11/2017,00/01/1900,00/01/1900,350.00,10002,5,1007
55,20/11/2017,27/11/2017,00/01/1900,00/01/1900,770.00,10002,3,1011
56,26/11/2017,29/11/2017,00/01/1900,00/01/1900,"1,550.00",10010,3,1007
58,02/12/2017,05/12/2017,00/01/1900,00/01/1900,770.00,10001,2,1002
59,02/12/2017,05/12/2017,00/01/1900,00/01/1900,290.00,10004,6,1012
60,03/12/2017,05/12/2017,00/01/1900,00/01/1900,230.00,10010,8,1004
61,04/12/2017,11/12/2017,00/01/1900,00/01/1900,410.00,10015,8,1011
62,10/12/2017,11/12/2017,00/01/1900,00/01/1900,500.00,10003,2,1005
63,19/12/2017,22/12/2017,00/01/1900,00/01/1900,650.00,10009,3,1008
