SubjectID,CategoryID,SubjectCode,SubjectName,SubjectPreReq,SubjectDescription
1,ACC,ACC 210,Financial Accounting Fundamentals I,,"Introduces basic accounting concepts, principles and prodcedures for recording business transactions and developing financial accounting reports. Excel spreadsheet component."
2,ACC,ACC 220,Financial Accounting Fundamentals II,ACC 210,"Applications of basic accounting concepts, principles and procedures to more complex business situations and to different forms of enterprise ownership. Includes computerized element. Prereq: ACC 210 or instructor permission."
3,ACC,ACC 230,Fundamentals of Managerial Accounting,ACC 220,"Analysis of accounting data as part of the managerial process of planning, decision making and control. Concentrates on economic decision making in enterprises. Includes computerized element. Prereq: ACC 220 or instructor permission."
4,ACC,ACC 251,Intermediate Accounting,ACC 220,"In-depth review of financial accounting principles. Emphasizes the conceptual framework of accounting, revenue and expense recognition. Accounts Receivable, Depreciation, and Amortization, etc. Prereq: ACC 220 or instructor permission."
5,ACC,ACC 257,Business Tax Accounting,ACC 220,"Basic principles, practices and governmental regulations (Federal, Washington, State, and local) involved in business tax accounting including filing returns, record keeping, tax planning, and registrations and business licenses. Prereq: ACC 220 or instructors permissions."
6,BUS,BUS 101,Introduction to Business,,"Survey of businss practices. Covers business terminology, forms of business ownership, franchising, small and international businesses, leadership and management, marketing principles, financing and investment methods, and business environment."
7,BUS,BUS 155,Developing A Feasibility Plan,,"With the aid of a counselor, a feasibility plan will be developed which will be the basis or start of your business plan. Must be concurrently enrolled in BUS 151."
8,BUS,BUS 151,Introduction to Entrepreneurship,,"Overview of the entrepreneurial process, examination of the marketplace, and discussion of successful business strategies. Product selection, selling and marketing strategies. Sources of information and assistance. Must be concurrently enrolled in BUS 155."
9,BUS,BUS 170,Information Technology I,,"Uses Word for Windows word processing skills, document formatting, keyboarding, and 10-key keypad skills. Emphasis on preparing letters, memos, reports, and tables. Introduces Excel spreadsheet basics."
10,BUS,BUS 171,Information Technology II,BUS 170,"Uses intermediate Word features including formatting and production, mail merge, macros, text columns, graphics, and fonts; Excel spreadsheet; and introduction to PowerPoint presentation software, Internet and email. Prereq: BUS 170 or permission from instructor."
