TranDate,Account,Dept,Sum of Amount
8/1/2008,61510,150,($249.03)
8/1/2008,61520,150,($479.94)
8/1/2008,61530,150,($115.34)
8/1/2008,61540,150,($105.18)
8/1/2008,61550,150,($347.61)
8/1/2008,61560,150,($288.92)
8/1/2008,61570,150,($390.60)
8/1/2008,62010,150,"($1,614.34)"
8/1/2008,62020,150,"($1,482.23)"
8/1/2008,62030,150,($372.18)
8/1/2008,62099,150,$41.50
8/1/2008,62510,120,($721.02)
8/1/2008,62520,120,($283.34)
8/1/2008,62530,120,($165.97)
8/1/2008,62550,120,($81.38)
8/1/2008,62560,120,($8.25)
8/1/2008,63050,150,($230.81)
8/1/2008,63060,150,($5.55)
8/1/2008,64000,150,$534.20
8/1/2008,64010,150,$52.88
8/1/2008,64020,150,$16.93
8/1/2008,65520,110,($76.69)
8/1/2008,65540,110,($980.90)
8/1/2008,65550,110,"($1,648.31)"
8/1/2008,65570,110,($40.50)
8/1/2008,65590,110,($117.15)
8/1/2008,65600,110,($115.28)
8/1/2008,65610,110,($499.88)
8/1/2008,65620,110,($297.44)
8/1/2008,65650,110,($602.64)
8/1/2008,65660,110,($318.90)
8/1/2008,65690,110,($69.43)
8/1/2008,65700,110,($614.78)
8/1/2008,65710,110,($804.47)
8/1/2008,65730,110,($4.69)
8/1/2008,65740,110,($577.82)
8/1/2008,65750,110,($866.08)
8/1/2008,65760,110,($34.53)
8/1/2008,66010,130,($129.11)
8/1/2008,66020,130,"($1,052.97)"
8/1/2008,66030,130,($14.25)
8/1/2008,66040,130,($56.96)
8/1/2008,66050,130,($58.21)
8/1/2008,66070,130,($18.55)
8/1/2008,66080,130,($31.88)
8/1/2008,66090,130,($109.69)
8/1/2008,66100,130,($7.35)
8/1/2008,66110,130,($0.78)
8/1/2008,66120,130,($2.76)
8/1/2008,66130,130,($102.08)
8/1/2008,66510,140,($156.89)
8/1/2008,66520,140,($46.28)
8/1/2008,66530,140,($23.63)
8/1/2008,66550,140,($87.04)
8/1/2008,68050,170,($1.30)
8/2/2008,61510,150,($381.85)
8/2/2008,61520,150,($735.91)
8/2/2008,61530,150,($176.85)
8/2/2008,61540,150,($161.27)
8/2/2008,61550,150,($532.99)
8/2/2008,61560,150,($443.02)
8/2/2008,61570,150,($598.92)
8/2/2008,62010,150,"($2,475.32)"
8/2/2008,62020,150,"($2,272.75)"
8/2/2008,62030,150,($570.68)
8/2/2008,62099,150,$63.63
8/2/2008,62510,120,"($1,105.57)"
8/2/2008,62520,120,($434.45)
8/2/2008,62530,120,($254.49)
8/2/2008,62550,120,($124.78)
8/2/2008,62560,120,($12.65)
8/2/2008,63050,150,($353.91)
8/2/2008,63060,150,($8.51)
8/2/2008,64000,150,$819.10
8/2/2008,64010,150,$81.08
8/2/2008,64020,150,$25.96
8/2/2008,65520,110,($117.59)
8/2/2008,65540,110,"($1,504.05)"
8/2/2008,65550,110,"($2,527.41)"
8/2/2008,65570,110,($62.10)
8/2/2008,65590,110,($179.63)
8/2/2008,65600,110,($176.76)
8/2/2008,65610,110,($766.48)
8/2/2008,65620,110,($456.08)
8/2/2008,65650,110,($924.04)
8/2/2008,65660,110,($488.98)
8/2/2008,65690,110,($106.45)
8/2/2008,65700,110,($942.66)
8/2/2008,65710,110,"($1,233.51)"
8/2/2008,65730,110,($7.19)
8/2/2008,65740,110,($885.99)
8/2/2008,65750,110,"($1,327.99)"
8/2/2008,65760,110,($52.95)
8/2/2008,66010,130,($197.97)
8/2/2008,66020,130,"($1,614.55)"
8/2/2008,66030,130,($21.85)
8/2/2008,66040,130,($87.34)
8/2/2008,66050,130,($89.25)
8/2/2008,66070,130,($28.44)
8/2/2008,66080,130,($48.88)
8/2/2008,66090,130,($168.19)
8/2/2008,66100,130,($11.27)
8/2/2008,66110,130,($1.19)
8/2/2008,66120,130,($4.23)
8/2/2008,66130,130,($156.52)
8/2/2008,66510,140,($240.57)
8/2/2008,66520,140,($70.96)
8/2/2008,66530,140,($36.23)
8/2/2008,66550,140,($133.46)
8/2/2008,68050,170,($1.99)
8/10/2008,61510,150,($334.55)
8/10/2008,61520,150,($669.70)
8/10/2008,61530,150,($146.74)
8/10/2008,61540,150,($110.30)
8/10/2008,61550,150,($473.73)
8/10/2008,61560,150,($293.32)
8/10/2008,61570,150,($522.40)
8/10/2008,62010,150,"($2,218.19)"
8/10/2008,62020,150,"($1,806.20)"
8/10/2008,62030,150,($471.59)
8/10/2008,62099,150,$55.34
8/10/2008,62510,120,"($1,013.62)"
8/10/2008,62520,120,($235.30)
8/10/2008,62530,120,($193.85)
8/10/2008,62550,120,($103.24)
8/10/2008,62560,120,($12.09)
8/10/2008,63050,150,($342.40)
8/10/2008,64000,150,$660.86
8/10/2008,64010,150,$77.18
8/10/2008,64020,150,$19.04
8/10/2008,65520,110,($104.50)
8/10/2008,65540,110,"($1,090.70)"
8/10/2008,65550,110,"($2,514.10)"
8/10/2008,65570,110,($113.80)
8/10/2008,65590,110,($151.06)
8/10/2008,65600,110,($75.40)
8/10/2008,65610,110,($793.38)
8/10/2008,65620,110,($345.85)
8/10/2008,65630,110,$6.03
8/10/2008,65650,110,($258.11)
8/10/2008,65660,110,($249.80)
8/10/2008,65690,110,($81.12)
8/10/2008,65700,110,($872.09)
8/10/2008,65710,110,"($1,047.57)"
8/10/2008,65730,110,($25.00)
8/10/2008,65740,110,($709.31)
8/10/2008,65750,110,"($1,053.31)"
8/10/2008,65760,110,($13.54)
8/10/2008,66010,130,($185.96)
8/10/2008,66020,130,"($1,218.32)"
