TranDate,Account,Dept,Sum of Amount
12/1/2008,61510,150,($43.87)
12/1/2008,61520,150,($147.83)
12/1/2008,61530,150,($17.75)
12/1/2008,61540,150,($0.91)
12/1/2008,61550,150,($73.13)
12/1/2008,61560,150,($1.92)
12/1/2008,61570,150,($165.45)
12/1/2008,62010,150,($383.39)
12/1/2008,62020,150,($379.38)
12/1/2008,62030,150,($2.78)
12/1/2008,62099,150,$16.06
12/1/2008,62510,120,($171.39)
12/1/2008,62520,120,($61.99)
12/1/2008,62530,120,($24.44)
12/1/2008,62550,120,($25.58)
12/1/2008,62560,120,($3.19)
12/1/2008,63050,150,($12.15)
12/1/2008,63060,150,($1.60)
12/1/2008,64000,150,$217.80
12/1/2008,64010,150,$24.75
12/1/2008,64020,150,$6.91
12/1/2008,65540,110,($148.26)
12/1/2008,65550,110,($45.32)
12/1/2008,65570,110,($0.89)
12/1/2008,65590,110,($18.23)
12/1/2008,65600,110,($27.70)
12/1/2008,65690,110,($10.88)
12/1/2008,65700,110,($13.96)
12/1/2008,65710,110,($578.69)
12/1/2008,65730,110,($5.06)
12/1/2008,65740,110,($421.90)
12/1/2008,65750,110,($517.99)
12/1/2008,65760,110,($7.31)
12/1/2008,65900,170,($20.25)
12/1/2008,66010,130,($2.70)
12/1/2008,66020,130,($40.89)
12/1/2008,66030,130,($0.54)
12/1/2008,66040,130,($3.35)
12/1/2008,66050,130,($41.90)
12/1/2008,66070,130,($1.46)
12/1/2008,66080,130,($1.35)
12/1/2008,66090,130,($4.86)
12/1/2008,66100,130,($5.28)
12/1/2008,66110,130,($0.56)
12/1/2008,66120,130,$1.58
12/1/2008,66130,130,($65.18)
12/1/2008,66510,140,($9.65)
12/1/2008,66520,140,($6.10)
12/1/2008,66530,140,($9.32)
12/1/2008,66550,140,($7.40)
12/1/2008,68050,170,($0.75)
12/2/2008,61510,150,($43.87)
12/2/2008,61520,150,($147.83)
12/2/2008,61530,150,($17.75)
12/2/2008,61540,150,($0.91)
12/2/2008,61550,150,($73.13)
12/2/2008,61560,150,($1.92)
12/2/2008,61570,150,($165.45)
12/2/2008,62010,150,($383.39)
12/2/2008,62020,150,($379.38)
12/2/2008,62030,150,($2.78)
12/2/2008,62099,150,$16.06
12/2/2008,62510,120,($171.39)
12/2/2008,62520,120,($61.99)
12/2/2008,62530,120,($24.44)
12/2/2008,62550,120,($25.58)
12/2/2008,62560,120,($3.19)
12/2/2008,63050,150,($12.15)
12/2/2008,63060,150,($1.60)
12/2/2008,64000,150,$217.80
12/2/2008,64010,150,$24.75
12/2/2008,64020,150,$6.91
12/2/2008,65540,110,($148.26)
12/2/2008,65550,110,($45.32)
12/2/2008,65570,110,($0.89)
12/2/2008,65590,110,($18.23)
12/2/2008,65600,110,($27.70)
12/2/2008,65690,110,($10.88)
12/2/2008,65700,110,($13.96)
12/2/2008,65710,110,($578.69)
12/2/2008,65730,110,($5.06)
12/2/2008,65740,110,($421.90)
12/2/2008,65750,110,($517.99)
12/2/2008,65760,110,($7.31)
12/2/2008,65900,170,($20.25)
12/2/2008,66010,130,($2.70)
12/2/2008,66020,130,($40.89)
12/2/2008,66030,130,($0.54)
12/2/2008,66040,130,($3.35)
12/2/2008,66050,130,($41.90)
12/2/2008,66070,130,($1.46)
12/2/2008,66080,130,($1.35)
12/2/2008,66090,130,($4.86)
12/2/2008,66100,130,($5.28)
12/2/2008,66110,130,($0.56)
12/2/2008,66120,130,$1.58
12/2/2008,66130,130,($65.18)
12/2/2008,66510,140,($9.65)
12/2/2008,66520,140,($6.10)
12/2/2008,66530,140,($9.32)
12/2/2008,66550,140,($7.40)
12/2/2008,68050,170,($0.75)
12/3/2008,61510,150,($43.87)
12/3/2008,61520,150,($147.83)
12/3/2008,61530,150,($17.75)
12/3/2008,61540,150,($0.91)
12/3/2008,61550,150,($73.13)
12/3/2008,61560,150,($1.92)
12/3/2008,61570,150,($165.45)
12/3/2008,62010,150,($383.39)
12/3/2008,62020,150,($379.38)
12/3/2008,62030,150,($2.78)
12/3/2008,62099,150,$16.06
12/3/2008,62510,120,($171.39)
12/3/2008,62520,120,($61.99)
12/3/2008,62530,120,($24.44)
12/3/2008,62550,120,($25.58)
