TranDate,Account,Dept,Sum of Amount
7/1/2008,61510,150,($179.35)
7/1/2008,61520,150,($348.72)
7/1/2008,61530,150,($49.24)
7/1/2008,61540,150,($62.50)
7/1/2008,61550,150,($262.01)
7/1/2008,61560,150,($166.36)
7/1/2008,61570,150,($142.84)
7/1/2008,62010,150,"($1,106.37)"
7/1/2008,62020,150,($996.65)
7/1/2008,62030,150,($231.99)
7/1/2008,62099,150,$26.84
7/1/2008,62510,120,($540.68)
7/1/2008,62520,120,($111.74)
7/1/2008,62530,120,($102.88)
7/1/2008,62550,120,($49.83)
7/1/2008,62560,120,($11.83)
7/1/2008,63050,150,($96.35)
7/1/2008,63060,150,($0.89)
7/1/2008,64000,150,$223.56
7/1/2008,64010,150,$57.63
7/1/2008,64020,150,$22.07
7/1/2008,65520,110,($61.05)
7/1/2008,65540,110,($583.25)
7/1/2008,65550,110,($879.96)
7/1/2008,65570,110,($15.60)
7/1/2008,65590,110,($121.98)
7/1/2008,65600,110,($302.76)
7/1/2008,65610,110,($337.84)
7/1/2008,65620,110,($183.00)
7/1/2008,65650,110,($440.15)
7/1/2008,65660,110,($216.78)
7/1/2008,65690,110,($98.53)
7/1/2008,65700,110,($454.23)
7/1/2008,65710,110,($622.97)
7/1/2008,65730,110,($3.75)
7/1/2008,65740,110,($448.01)
7/1/2008,65750,110,($602.38)
7/1/2008,65760,110,($3.25)
7/1/2008,66010,130,($99.01)
7/1/2008,66020,130,($617.36)
7/1/2008,66030,130,($6.00)
7/1/2008,66040,130,($75.80)
7/1/2008,66050,130,($46.57)
7/1/2008,66070,130,($14.42)
7/1/2008,66080,130,($11.25)
7/1/2008,66090,130,($35.10)
7/1/2008,66100,130,($5.88)
7/1/2008,66110,130,($0.62)
7/1/2008,66120,130,($8.56)
7/1/2008,66130,130,($73.61)
7/1/2008,66510,140,($101.71)
7/1/2008,66520,140,($37.68)
7/1/2008,66530,140,($12.60)
7/1/2008,66550,140,($113.94)
7/1/2008,68050,170,($3.22)
7/2/2008,61510,150,($164.41)
7/2/2008,61520,150,($319.66)
7/2/2008,61530,150,($45.13)
7/2/2008,61540,150,($57.29)
7/2/2008,61550,150,($240.18)
7/2/2008,61560,150,($152.50)
7/2/2008,61570,150,($130.93)
7/2/2008,62010,150,"($1,014.18)"
7/2/2008,62020,150,($913.59)
7/2/2008,62030,150,($212.66)
7/2/2008,62099,150,$24.60
7/2/2008,62510,120,($495.63)
7/2/2008,62520,120,($102.43)
7/2/2008,62530,120,($94.31)
7/2/2008,62550,120,($45.68)
7/2/2008,62560,120,($10.84)
