TranDate,Account,Dept,Sum of Amount
11/1/2008,61510,150,($114.48)
11/1/2008,61520,150,($193.31)
11/1/2008,61530,150,($42.57)
11/1/2008,61540,150,($12.64)
11/1/2008,61550,150,($212.63)
11/1/2008,61560,150,($40.52)
11/1/2008,61570,150,($307.19)
11/1/2008,62010,150,($722.79)
11/1/2008,62020,150,($488.63)
11/1/2008,62030,150,($96.72)
11/1/2008,62099,150,$19.78
11/1/2008,62510,120,($215.48)
11/1/2008,62520,120,($79.55)
11/1/2008,62530,120,($20.26)
11/1/2008,62550,120,($36.23)
11/1/2008,62560,120,($12.69)
11/1/2008,63050,150,($41.54)
11/1/2008,63060,150,$8.95
11/1/2008,64000,150,$434.65
11/1/2008,64010,150,$42.80
11/1/2008,64020,150,$17.90
11/1/2008,65520,110,($9.45)
11/1/2008,65540,110,($490.51)
11/1/2008,65550,110,($7.79)
11/1/2008,65570,110,($4.54)
11/1/2008,65590,110,($34.93)
11/1/2008,65600,110,($335.40)
11/1/2008,65610,110,($142.37)
11/1/2008,65650,110,$16.20
11/1/2008,65660,110,($21.34)
11/1/2008,65690,110,($33.96)
11/1/2008,65700,110,($175.90)
11/1/2008,65710,110,($810.23)
11/1/2008,65730,110,($7.09)
11/1/2008,65740,110,($578.60)
11/1/2008,65750,110,($833.66)
11/1/2008,65760,110,($10.24)
11/1/2008,66010,130,($4.08)
11/1/2008,66020,130,($123.72)
11/1/2008,66030,130,($2.65)
11/1/2008,66040,130,($12.89)
11/1/2008,66050,130,($48.47)
11/1/2008,66070,130,($3.40)
11/1/2008,66080,130,($1.89)
11/1/2008,66090,130,($11.91)
11/1/2008,66100,130,($7.41)
11/1/2008,66110,130,($0.78)
11/1/2008,66120,130,($4.11)
11/1/2008,66130,130,($91.30)
11/1/2008,66510,140,($24.14)
11/1/2008,66520,140,($13.23)
11/1/2008,68050,170,($0.95)
11/2/2008,61510,150,($47.12)
11/2/2008,61520,150,($158.78)
11/2/2008,61530,150,($19.07)
11/2/2008,61540,150,($0.98)
11/2/2008,61550,150,($78.55)
11/2/2008,61560,150,($2.06)
11/2/2008,61570,150,($177.70)
11/2/2008,62010,150,($411.79)
11/2/2008,62020,150,($407.49)
11/2/2008,62030,150,($2.99)
11/2/2008,62099,150,$17.25
11/2/2008,62510,120,($184.09)
11/2/2008,62520,120,($66.59)
11/2/2008,62530,120,($26.26)
11/2/2008,62550,120,($27.48)
11/2/2008,62560,120,($3.43)
11/2/2008,63050,150,($13.05)
11/2/2008,63060,150,($1.72)
11/2/2008,64000,150,$233.93
11/2/2008,64010,150,$26.59
11/2/2008,64020,150,$7.42
11/2/2008,65540,110,($159.24)
11/2/2008,65550,110,($48.68)
11/2/2008,65570,110,($0.96)
11/2/2008,65590,110,($19.58)
11/2/2008,65600,110,($29.75)
11/2/2008,65690,110,($11.69)
11/2/2008,65700,110,($15.00)
11/2/2008,65710,110,($621.56)
11/2/2008,65730,110,($5.44)
11/2/2008,65740,110,($453.15)
11/2/2008,65750,110,($556.36)
11/2/2008,65760,110,($7.85)
11/2/2008,65900,170,($21.75)
11/2/2008,66010,130,($2.90)
11/2/2008,66020,130,($43.92)
11/2/2008,66030,130,($0.58)
11/2/2008,66040,130,($3.60)
11/2/2008,66050,130,($45.01)
11/2/2008,66070,130,($1.57)
11/2/2008,66080,130,($1.45)
11/2/2008,66090,130,($5.22)
11/2/2008,66100,130,($5.67)
11/2/2008,66110,130,($0.60)
11/2/2008,66120,130,$1.69
11/2/2008,66130,130,($70.01)
11/2/2008,66510,140,($10.36)
11/2/2008,66520,140,($6.55)
