TranDate,Account,Dept,Sum of Amount
10/1/2008,61510,150,($89.22)
10/1/2008,61520,150,($196.33)
10/1/2008,61530,150,($45.36)
10/1/2008,61540,150,($36.97)
10/1/2008,61550,150,($121.03)
10/1/2008,61560,150,($119.46)
10/1/2008,61570,150,($183.28)
10/1/2008,62010,150,($560.06)
10/1/2008,62020,150,($564.33)
10/1/2008,62030,150,($121.16)
10/1/2008,62099,150,$12.87
10/1/2008,62510,120,($240.51)
10/1/2008,62520,120,($107.54)
10/1/2008,62530,120,($59.44)
10/1/2008,62550,120,($20.77)
10/1/2008,62560,120,($8.76)
10/1/2008,63050,150,($39.62)
10/1/2008,63060,150,($1.01)
10/1/2008,64000,150,$249.75
10/1/2008,64010,150,$24.97
10/1/2008,64020,150,$3.41
10/1/2008,65520,110,($18.13)
10/1/2008,65540,110,($197.00)
10/1/2008,65550,110,($558.17)
10/1/2008,65570,110,($2.74)
10/1/2008,65590,110,($47.20)
10/1/2008,65600,110,($81.17)
10/1/2008,65610,110,($214.23)
10/1/2008,65620,110,($27.09)
10/1/2008,65650,110,($378.50)
10/1/2008,65660,110,($138.20)
10/1/2008,65690,110,($20.34)
10/1/2008,65700,110,($226.54)
10/1/2008,65710,110,($324.20)
10/1/2008,65730,110,($3.21)
10/1/2008,65740,110,($275.34)
10/1/2008,65750,110,($330.65)
10/1/2008,65760,110,($4.63)
10/1/2008,66010,130,($25.97)
10/1/2008,66020,130,($448.34)
10/1/2008,66030,130,($6.16)
10/1/2008,66040,130,($23.59)
10/1/2008,66050,130,($26.54)
10/1/2008,66070,130,($6.59)
10/1/2008,66080,130,($5.56)
10/1/2008,66090,130,($23.00)
10/1/2008,66100,130,($3.35)
10/1/2008,66110,130,($0.35)
10/1/2008,66120,130,($1.31)
10/1/2008,66130,130,($41.30)
10/1/2008,66510,140,($45.39)
10/1/2008,66520,140,($11.99)
10/1/2008,66530,140,($3.59)
10/1/2008,66550,140,($17.08)
10/1/2008,68050,170,($0.55)
10/2/2008,61510,150,($103.31)
10/2/2008,61520,150,($227.33)
10/2/2008,61530,150,($52.52)
10/2/2008,61540,150,($42.81)
10/2/2008,61550,150,($140.14)
10/2/2008,61560,150,($138.32)
10/2/2008,61570,150,($212.21)
10/2/2008,62010,150,($648.49)
10/2/2008,62020,150,($653.44)
10/2/2008,62030,150,($140.29)
10/2/2008,62099,150,$14.90
10/2/2008,62510,120,($278.48)
10/2/2008,62520,120,($124.52)
10/2/2008,62530,120,($68.82)
10/2/2008,62550,120,($24.04)
10/2/2008,62560,120,($10.14)
10/2/2008,63050,150,($45.88)
10/2/2008,63060,150,($1.17)
10/2/2008,64000,150,$289.19
10/2/2008,64010,150,$28.92
10/2/2008,64020,150,$3.95
10/2/2008,65520,110,($20.99)
10/2/2008,65540,110,($228.10)
10/2/2008,65550,110,($646.30)
10/2/2008,65570,110,($3.17)
10/2/2008,65590,110,($54.65)
10/2/2008,65600,110,($93.99)
10/2/2008,65610,110,($248.05)
10/2/2008,65620,110,($31.36)
10/2/2008,65650,110,($438.26)
10/2/2008,65660,110,($160.02)
10/2/2008,65690,110,($23.55)
10/2/2008,65700,110,($262.30)
10/2/2008,65710,110,($375.39)
10/2/2008,65730,110,($3.71)
10/2/2008,65740,110,($318.81)
10/2/2008,65750,110,($382.85)
10/2/2008,65760,110,($5.36)
10/2/2008,66010,130,($30.07)
10/2/2008,66020,130,($519.13)
10/2/2008,66030,130,($7.13)
10/2/2008,66040,130,($27.32)
10/2/2008,66050,130,($30.73)
10/2/2008,66070,130,($7.63)
10/2/2008,66080,130,($6.44)
10/2/2008,66090,130,($26.63)
10/2/2008,66100,130,($3.88)
10/2/2008,66110,130,($0.41)
10/2/2008,66120,130,($1.52)
10/2/2008,66130,130,($47.83)
10/2/2008,66510,140,($52.56)
10/2/2008,66520,140,($13.88)
10/2/2008,66530,140,($4.16)
10/2/2008,66550,140,($19.78)
10/2/2008,68050,170,($0.63)
10/2/2008,71010,120,"$2,151.54"
10/2/2008,71020,120,$805.00
10/2/2008,71030,120,$359.27
10/2/2008,71050,120,$129.19
10/2/2008,71060,120,$64.59
10/2/2008,71070,120,($55.42)
10/2/2008,71080,120,$3.15
10/2/2008,71160,150,$156.16
10/2/2008,71170,150,$446.82
10/2/2008,71180,150,$574.61
10/2/2008,71190,150,$204.08
10/2/2008,71200,150,$270.30
10/2/2008,71240,150,$965.99
10/2/2008,71299,150,($15.71)
10/2/2008,71310,150,"$4,822.72"
10/2/2008,71325,150,($909.68)
10/2/2008,71550,150,$866.60
10/2/2008,71560,140,$108.00
10/2/2008,72010,110,"$1,594.79"
10/2/2008,72020,110,"$2,638.30"
10/2/2008,72040,130,"$1,041.48"
10/2/2008,72050,140,$671.62
10/2/2008,72060,150,"$2,793.15"
10/2/2008,72070,150,"$3,730.08"
10/2/2008,72090,150,$878.82
10/2/2008,72100,150,$209.20
10/2/2008,72110,160,"$2,173.65"
10/2/2008,72120,160,"$2,342.34"
10/2/2008,72130,160,"$2,725.61"
10/2/2008,72140,160,$745.02
10/2/2008,72150,165,"$1,410.62"
10/2/2008,72160,170,"$1,596.54"
10/2/2008,72999,150,($511.70)
10/2/2008,73010,110,$98.47
10/2/2008,73010,130,$51.48
10/2/2008,73010,140,$36.00
10/2/2008,73010,150,$219.59
10/2/2008,73010,160,$259.17
10/2/2008,73010,165,$58.91
10/2/2008,73010,170,$125.24
10/2/2008,73020,110,$76.17
10/2/2008,73020,130,$26.28
