TranDate,Account,Dept,Sum of Amount
9/1/2008,61510,150,($184.01)
9/1/2008,61520,150,($368.34)
9/1/2008,61530,150,($80.71)
9/1/2008,61540,150,($60.67)
9/1/2008,61550,150,($260.55)
9/1/2008,61560,150,($161.33)
9/1/2008,61570,150,($287.32)
9/1/2008,62010,150,"($1,220.00)"
9/1/2008,62020,150,($993.41)
9/1/2008,62030,150,($259.38)
9/1/2008,62099,150,$30.44
9/1/2008,62510,120,($557.49)
9/1/2008,62520,120,($129.42)
9/1/2008,62530,120,($106.62)
9/1/2008,62550,120,($56.78)
9/1/2008,62560,120,($6.65)
9/1/2008,63050,150,($188.32)
9/1/2008,64000,150,$363.47
9/1/2008,64010,150,$42.45
9/1/2008,64020,150,$10.47
9/1/2008,65520,110,($57.48)
9/1/2008,65540,110,($599.88)
9/1/2008,65550,110,"($1,382.75)"
9/1/2008,65570,110,($62.59)
9/1/2008,65590,110,($83.09)
9/1/2008,65600,110,($41.47)
9/1/2008,65610,110,($436.36)
9/1/2008,65620,110,($190.22)
9/1/2008,65630,110,$3.32
9/1/2008,65650,110,($141.96)
9/1/2008,65660,110,($137.39)
9/1/2008,65690,110,($44.62)
9/1/2008,65700,110,($479.65)
9/1/2008,65710,110,($576.16)
9/1/2008,65730,110,($13.75)
9/1/2008,65740,110,($390.12)
9/1/2008,65750,110,($579.32)
9/1/2008,65760,110,($7.45)
9/1/2008,66010,130,($102.28)
9/1/2008,66020,130,($670.07)
9/1/2008,66030,130,($9.63)
9/1/2008,66040,130,($61.09)
9/1/2008,66050,130,($42.68)
9/1/2008,66070,130,($20.24)
9/1/2008,66080,130,($9.63)
9/1/2008,66090,130,($49.50)
9/1/2008,66100,130,($5.38)
9/1/2008,66110,130,($0.57)
9/1/2008,66120,130,($2.99)
9/1/2008,66130,130,($69.03)
9/1/2008,66510,140,($98.54)
9/1/2008,66520,140,($22.06)
9/1/2008,66530,140,($8.94)
9/1/2008,66550,140,($43.89)
9/1/2008,68050,170,($0.98)
9/1/2008,68060,170,($96.25)
9/2/2008,61510,150,($175.64)
9/2/2008,61520,150,($351.59)
9/2/2008,61530,150,($77.04)
9/2/2008,61540,150,($57.91)
9/2/2008,61550,150,($248.71)
9/2/2008,61560,150,($153.99)
9/2/2008,61570,150,($274.26)
