TranDate,Account,Dept,Sum of Amount
4/1/2009,61510,150,($41.27)
4/1/2009,61520,150,($122.19)
4/1/2009,61530,150,($23.38)
4/1/2009,61540,150,($2.32)
4/1/2009,61550,150,($78.86)
4/1/2009,61560,150,($4.14)
4/1/2009,61570,150,($65.44)
4/1/2009,62010,150,($366.31)
4/1/2009,62020,150,($305.65)
4/1/2009,62030,150,($8.70)
4/1/2009,62099,150,$15.24
4/1/2009,62510,120,($116.14)
4/1/2009,62520,120,($63.18)
4/1/2009,62530,120,($16.81)
4/1/2009,62550,120,($27.02)
4/1/2009,62560,120,($9.01)
4/1/2009,63060,150,$2.00
4/1/2009,64000,150,$153.63
4/1/2009,64010,150,$15.81
4/1/2009,64020,150,$9.04
4/1/2009,65540,110,($191.54)
4/1/2009,65550,110,($54.61)
4/1/2009,65590,110,($18.94)
4/1/2009,65600,110,($60.75)
4/1/2009,65610,110,($13.91)
4/1/2009,65660,110,($10.73)
4/1/2009,65690,110,($86.31)
4/1/2009,65700,110,($159.95)
4/1/2009,65710,110,($681.59)
4/1/2009,65730,110,($4.22)
4/1/2009,65740,110,($542.89)
4/1/2009,65750,110,($692.68)
4/1/2009,65760,110,($7.86)
4/1/2009,66010,130,($1.69)
4/1/2009,66020,130,($102.26)
4/1/2009,66030,130,($6.03)
4/1/2009,66040,130,($4.19)
4/1/2009,66050,130,($35.72)
4/1/2009,66070,130,($3.94)
4/1/2009,66090,130,($10.80)
4/1/2009,66100,130,($5.02)
4/1/2009,66110,130,($0.70)
4/1/2009,66120,130,($1.94)
4/1/2009,66130,130,($76.31)
4/1/2009,66510,140,($19.98)
4/1/2009,66520,140,($12.99)
4/1/2009,66530,140,($36.36)
4/1/2009,66550,140,($32.02)
4/1/2009,68060,170,($53.17)
4/2/2009,61510,150,($41.27)
4/2/2009,61520,150,($122.19)
4/2/2009,61530,150,($23.38)
4/2/2009,61540,150,($2.32)
4/2/2009,61550,150,($78.86)
4/2/2009,61560,150,($4.14)
4/2/2009,61570,150,($65.44)
4/2/2009,62010,150,($366.31)
4/2/2009,62020,150,($305.65)
4/2/2009,62030,150,($8.70)
4/2/2009,62099,150,$15.24
4/2/2009,62510,120,($116.14)
4/2/2009,62520,120,($63.18)
4/2/2009,62530,120,($16.81)
4/2/2009,62550,120,($27.02)
4/2/2009,62560,120,($9.01)
4/2/2009,63060,150,$2.00
4/2/2009,64000,150,$153.63
4/2/2009,64010,150,$15.81
4/2/2009,64020,150,$9.04
4/2/2009,65540,110,($191.54)
4/2/2009,65550,110,($54.61)
4/2/2009,65590,110,($18.94)
4/2/2009,65600,110,($60.75)
4/2/2009,65610,110,($13.91)
4/2/2009,65660,110,($10.73)
4/2/2009,65690,110,($86.31)
4/2/2009,65700,110,($159.95)
4/2/2009,65710,110,($681.59)
4/2/2009,65730,110,($4.22)
4/2/2009,65740,110,($542.89)
4/2/2009,65750,110,($692.68)
4/2/2009,65760,110,($7.86)
4/2/2009,66010,130,($1.69)
4/2/2009,66020,130,($102.26)
4/2/2009,66030,130,($6.03)
4/2/2009,66040,130,($4.19)
4/2/2009,66050,130,($35.72)
4/2/2009,66070,130,($3.94)
4/2/2009,66090,130,($10.80)
4/2/2009,66100,130,($5.02)
4/2/2009,66110,130,($0.70)
4/2/2009,66120,130,($1.94)
4/2/2009,66130,130,($76.31)
4/2/2009,66510,140,($19.98)
4/2/2009,66520,140,($12.99)
4/2/2009,66530,140,($36.36)
4/2/2009,66550,140,($32.02)
4/2/2009,68060,170,($53.17)
4/2/2009,71010,120,$753.95
4/2/2009,71020,120,$370.62
4/2/2009,71030,120,$101.98
4/2/2009,71050,120,$150.56
4/2/2009,71060,120,$55.08
4/2/2009,71070,120,($317.08)
4/2/2009,71080,120,$16.04
4/2/2009,71160,150,$33.48
4/2/2009,71170,150,$235.05
4/2/2009,71180,150,($52.65)
4/2/2009,71190,150,$8.84
4/2/2009,71200,150,$44.82
4/2/2009,71240,150,$389.83
4/2/2009,71299,150,($28.21)
4/2/2009,71310,150,"$1,670.14"
4/2/2009,71325,150,($383.22)
4/2/2009,71550,150,$94.34
4/2/2009,71560,140,$225.99
4/2/2009,71560,150,($11.85)
4/2/2009,72010,110,"$3,636.55"
4/2/2009,72020,110,"$1,547.92"
4/2/2009,72040,130,$422.36
4/2/2009,72050,140,$498.19
4/2/2009,72060,150,"$1,122.39"
4/2/2009,72070,150,"$2,183.85"
4/2/2009,72090,150,$719.72
4/2/2009,72110,160,"$2,581.22"
4/2/2009,72120,160,"$3,083.45"
4/2/2009,72130,160,$342.55
4/2/2009,72140,160,$867.91
4/2/2009,72150,165,"$1,788.32"
4/2/2009,72160,170,"$1,604.81"
4/2/2009,72999,150,($218.25)
4/2/2009,73010,110,$206.86
4/2/2009,73010,130,$20.75
4/2/2009,73010,140,$15.78
4/2/2009,73010,150,$161.97
4/2/2009,73010,160,$305.47
4/2/2009,73010,165,$87.53
4/2/2009,73010,170,$210.38
4/2/2009,73020,110,$111.01
4/2/2009,73020,130,$10.50
4/2/2009,73020,140,$8.03
4/2/2009,73020,150,$104.01
4/2/2009,73020,160,$155.20
4/2/2009,73020,165,$46.20
4/2/2009,73020,170,$45.18
