TranDate,Account,Dept,Sum of Amount
2/1/2009,61510,150,($27.94)
2/1/2009,61520,150,($117.90)
2/1/2009,61530,150,($23.91)
2/1/2009,61540,150,($1.56)
2/1/2009,61550,150,($85.53)
2/1/2009,61560,150,($2.63)
2/1/2009,61570,150,($68.62)
2/1/2009,62010,150,($337.55)
2/1/2009,62020,150,($296.79)
2/1/2009,62099,150,$13.56
2/1/2009,62510,120,($46.02)
2/1/2009,62520,120,($69.66)
2/1/2009,62530,120,($9.97)
2/1/2009,62550,120,($34.40)
2/1/2009,62560,120,($18.35)
2/1/2009,63060,150,($2.15)
2/1/2009,64000,150,$181.39
2/1/2009,64010,150,$8.06
2/1/2009,64020,150,$0.18
2/1/2009,65540,110,($318.21)
2/1/2009,65550,110,($81.56)
2/1/2009,65570,110,($3.59)
2/1/2009,65590,110,($38.17)
2/1/2009,65600,110,($60.61)
2/1/2009,65690,110,($71.42)
2/1/2009,65700,110,($95.53)
2/1/2009,65710,110,($777.01)
2/1/2009,65730,110,($6.80)
2/1/2009,65740,110,($541.34)
2/1/2009,65750,110,($727.88)
2/1/2009,65760,110,($9.82)
2/1/2009,66010,130,($3.63)
2/1/2009,66020,130,($74.31)
2/1/2009,66030,130,($0.73)
2/1/2009,66040,130,($4.50)
2/1/2009,66050,130,($56.27)
2/1/2009,66070,130,($4.38)
2/1/2009,66080,130,($5.44)
2/1/2009,66090,130,($0.73)
2/1/2009,66100,130,($7.11)
2/1/2009,66110,130,($0.75)
2/1/2009,66120,130,($2.78)
2/1/2009,66130,130,($87.56)
2/1/2009,66510,140,($16.84)
2/1/2009,66520,140,($20.01)
2/1/2009,66530,140,($27.71)
2/1/2009,66550,140,($32.10)
2/1/2009,68050,170,($0.17)
2/1/2009,68060,170,($57.11)
2/2/2009,61510,150,($26.01)
2/2/2009,61520,150,($109.77)
2/2/2009,61530,150,($22.26)
2/2/2009,61540,150,($1.45)
2/2/2009,61550,150,($79.64)
2/2/2009,61560,150,($2.45)
2/2/2009,61570,150,($63.88)
2/2/2009,62010,150,($314.27)
2/2/2009,62020,150,($276.32)
2/2/2009,62099,150,$12.62
2/2/2009,62510,120,($42.85)
2/2/2009,62520,120,($64.85)
2/2/2009,62530,120,($9.28)
2/2/2009,62550,120,($32.03)
2/2/2009,62560,120,($17.08)
2/2/2009,63060,150,($2.00)
2/2/2009,64000,150,$168.88
2/2/2009,64010,150,$7.51
2/2/2009,64020,150,$0.17
2/2/2009,65540,110,($296.26)
2/2/2009,65550,110,($75.94)
2/2/2009,65570,110,($3.34)
2/2/2009,65590,110,($35.54)
2/2/2009,65600,110,($56.43)
2/2/2009,65690,110,($66.49)
2/2/2009,65700,110,($88.94)
2/2/2009,65710,110,($723.42)
2/2/2009,65730,110,($6.33)
2/2/2009,65740,110,($504.01)
2/2/2009,65750,110,($677.68)
2/2/2009,65760,110,($9.14)
2/2/2009,66010,130,($3.38)
2/2/2009,66020,130,($69.19)
