TranDate,Account,Dept,Sum of Amount
1/2/2009,61510,150,($86.24)
1/2/2009,61520,150,($318.14)
1/2/2009,61530,150,($26.68)
1/2/2009,61540,150,($2.16)
1/2/2009,61550,150,($78.53)
1/2/2009,61560,150,($1.45)
1/2/2009,61570,150,($121.05)
1/2/2009,62010,150,($402.64)
1/2/2009,62020,150,($954.03)
1/2/2009,62099,150,$26.01
1/2/2009,62510,120,($138.92)
1/2/2009,62520,120,($50.88)
1/2/2009,62530,120,($13.98)
1/2/2009,62550,120,($14.71)
1/2/2009,62560,120,($2.21)
1/2/2009,63050,150,($93.17)
1/2/2009,63060,150,$5.43
1/2/2009,64000,150,$210.37
1/2/2009,64010,150,$32.38
1/2/2009,64020,150,$0.53
1/2/2009,65540,110,($109.56)
1/2/2009,65550,110,($49.76)
1/2/2009,65570,110,($1.12)
1/2/2009,65590,110,($15.77)
1/2/2009,65600,110,($22.78)
1/2/2009,65660,110,($1.56)
1/2/2009,65690,110,($44.18)
1/2/2009,65700,110,($60.79)
1/2/2009,65710,110,"($1,186.41)"
1/2/2009,65730,110,($10.38)
1/2/2009,65740,110,($826.58)
1/2/2009,65750,110,"($1,111.39)"
1/2/2009,65760,110,($14.99)
1/2/2009,65900,170,($25.31)
1/2/2009,66010,130,($0.54)
1/2/2009,66020,130,($30.40)
1/2/2009,66030,130,($0.43)
1/2/2009,66040,130,($4.19)
1/2/2009,66050,130,($85.92)
1/2/2009,66070,130,($1.25)
1/2/2009,66080,130,($0.54)
1/2/2009,66100,130,($10.85)
1/2/2009,66110,130,($1.15)
1/2/2009,66120,130,($4.25)
1/2/2009,66130,130,($133.69)
1/2/2009,66510,140,($10.04)
1/2/2009,66520,140,($11.74)
1/2/2009,66530,140,($7.45)
1/2/2009,66550,140,($45.03)
1/2/2009,68050,170,($1.01)
1/2/2009,68060,170,($53.17)
1/3/2009,61510,150,($114.99)
1/3/2009,61520,150,($424.20)
1/3/2009,61530,150,($35.56)
1/3/2009,61540,150,($2.87)
1/3/2009,61550,150,($104.70)
1/3/2009,61560,150,($1.94)
1/3/2009,61570,150,($161.41)
1/3/2009,62010,150,($536.84)
1/3/2009,62020,150,"($1,272.04)"
1/3/2009,62099,150,$34.67
1/3/2009,62510,120,($185.23)
1/3/2009,62520,120,($67.84)
1/3/2009,62530,120,($18.63)
1/3/2009,62550,120,($19.62)
1/3/2009,62560,120,($2.95)
1/3/2009,63050,150,($124.22)
1/3/2009,63060,150,$7.24
1/3/2009,64000,150,$280.49
1/3/2009,64010,150,$43.18
1/3/2009,64020,150,$0.71
1/3/2009,65540,110,($146.08)
1/3/2009,65550,110,($66.34)
1/3/2009,65570,110,($1.49)
1/3/2009,65590,110,($21.03)
1/3/2009,65600,110,($30.37)
1/3/2009,65660,110,($2.07)
1/3/2009,65690,110,($58.91)
1/3/2009,65700,110,($81.04)
