TranDate,Account,Dept,Sum of Amount
6/1/2009,61510,150,($95.03)
6/1/2009,61520,150,($211.17)
6/1/2009,61530,150,($58.08)
6/1/2009,61540,150,($46.15)
6/1/2009,61550,150,($284.69)
6/1/2009,61560,150,($145.92)
6/1/2009,61570,150,($164.35)
6/1/2009,62010,150,($874.66)
6/1/2009,62020,150,($996.33)
6/1/2009,62030,150,($235.00)
6/1/2009,62099,150,$32.72
6/1/2009,62510,120,($537.51)
6/1/2009,62520,120,($278.15)
6/1/2009,62530,120,($86.75)
6/1/2009,62550,120,($54.29)
6/1/2009,62560,120,($14.21)
6/1/2009,63050,150,($6.50)
6/1/2009,64000,150,$218.87
6/1/2009,64010,150,$71.71
6/1/2009,64020,150,$2.00
6/1/2009,65520,110,($33.54)
6/1/2009,65540,110,($294.40)
6/1/2009,65550,110,($780.37)
6/1/2009,65570,110,($6.66)
6/1/2009,65590,110,($63.80)
6/1/2009,65600,110,($264.93)
6/1/2009,65610,110,($486.44)
6/1/2009,65620,110,($203.89)
6/1/2009,65650,110,($611.00)
6/1/2009,65660,110,($208.68)
6/1/2009,65690,110,($71.57)
6/1/2009,65700,110,($484.54)
6/1/2009,65710,110,($673.28)
6/1/2009,65730,110,$2.03
6/1/2009,65740,110,($510.84)
6/1/2009,65750,110,($548.43)
6/1/2009,65760,110,($7.57)
6/1/2009,66010,130,($86.11)
6/1/2009,66020,130,($583.91)
6/1/2009,66030,130,($4.55)
6/1/2009,66040,130,($67.50)
6/1/2009,66050,130,($32.97)
6/1/2009,66070,130,($11.33)
6/1/2009,66080,130,($8.13)
6/1/2009,66090,130,($37.70)
6/1/2009,66100,130,($6.10)
6/1/2009,66110,130,($0.50)
6/1/2009,66120,130,($2.29)
6/1/2009,66130,130,($67.25)
6/1/2009,66510,140,($90.39)
6/1/2009,66520,140,($32.18)
6/1/2009,66530,140,($10.84)
6/1/2009,66550,140,($127.02)
6/1/2009,68060,170,($132.45)
6/2/2009,61510,150,($87.72)
6/2/2009,61520,150,($194.92)
6/2/2009,61530,150,($53.61)
6/2/2009,61540,150,($42.60)
6/2/2009,61550,150,($262.79)
6/2/2009,61560,150,($134.70)
6/2/2009,61570,150,($151.71)
6/2/2009,62010,150,($807.38)
6/2/2009,62020,150,($919.69)
6/2/2009,62030,150,($216.92)
6/2/2009,62099,150,$30.20
6/2/2009,62510,120,($496.16)
6/2/2009,62520,120,($256.76)
6/2/2009,62530,120,($80.08)
6/2/2009,62550,120,($50.12)
6/2/2009,62560,120,($13.11)
6/2/2009,63050,150,($6.00)
6/2/2009,64000,150,$202.03
6/2/2009,64010,150,$66.19
6/2/2009,64020,150,$1.84
6/2/2009,65520,110,($30.96)
6/2/2009,65540,110,($271.75)
6/2/2009,65550,110,($720.35)
6/2/2009,65570,110,($6.15)
6/2/2009,65590,110,($58.89)
6/2/2009,65600,110,($244.55)
6/2/2009,65610,110,($449.02)
6/2/2009,65620,110,($188.21)
6/2/2009,65650,110,($564.00)
6/2/2009,65660,110,($192.63)
6/2/2009,65690,110,($66.07)
6/2/2009,65700,110,($447.27)
6/2/2009,65710,110,($621.49)
6/2/2009,65730,110,$1.88
6/2/2009,65740,110,($471.55)
6/2/2009,65750,110,($506.24)
6/2/2009,65760,110,($6.99)
6/2/2009,66010,130,($79.49)
6/2/2009,66020,130,($538.99)
6/2/2009,66030,130,($4.20)
6/2/2009,66040,130,($62.31)
6/2/2009,66050,130,($30.44)
6/2/2009,66070,130,($10.46)
6/2/2009,66080,130,($7.50)
6/2/2009,66090,130,($34.80)
6/2/2009,66100,130,($5.63)
6/2/2009,66110,130,($0.47)
6/2/2009,66120,130,($2.11)
6/2/2009,66130,130,($62.08)
6/2/2009,66510,140,($83.43)
6/2/2009,66520,140,($29.70)
6/2/2009,66530,140,($10.00)
6/2/2009,66550,140,($117.25)
6/2/2009,68060,170,($122.27)
6/3/2009,61510,150,($80.41)
6/3/2009,61520,150,($178.68)
6/3/2009,61530,150,($49.14)
6/3/2009,61540,150,($39.05)
6/3/2009,61550,150,($240.89)
6/3/2009,61560,150,($123.47)
6/3/2009,61570,150,($139.07)
6/3/2009,62010,150,($740.10)
6/3/2009,62020,150,($843.05)
6/3/2009,62030,150,($198.84)
6/3/2009,62099,150,$27.69
6/3/2009,62510,120,($454.82)
6/3/2009,62520,120,($235.36)
6/3/2009,62530,120,($73.41)
6/3/2009,62550,120,($45.94)
6/3/2009,62560,120,($12.02)
6/3/2009,63050,150,($5.50)
6/3/2009,64000,150,$185.19
6/3/2009,64010,150,$60.68
6/3/2009,64020,150,$1.69
6/3/2009,65520,110,($28.38)
6/3/2009,65540,110,($249.11)
6/3/2009,65550,110,($660.32)
6/3/2009,65570,110,($5.64)
6/3/2009,65590,110,($53.99)
6/3/2009,65600,110,($224.17)
6/3/2009,65610,110,($411.60)
6/3/2009,65620,110,($172.52)
6/3/2009,65650,110,($517.00)
6/3/2009,65660,110,($176.58)
6/3/2009,65690,110,($60.56)
6/3/2009,65700,110,($409.99)
6/3/2009,65710,110,($569.70)
6/3/2009,65730,110,$1.72
6/3/2009,65740,110,($432.25)
6/3/2009,65750,110,($464.05)
6/3/2009,65760,110,($6.41)
6/3/2009,66010,130,($72.86)
6/3/2009,66020,130,($494.08)
6/3/2009,66030,130,($3.85)
6/3/2009,66040,130,($57.12)
6/3/2009,66050,130,($27.90)
6/3/2009,66070,130,($9.59)
6/3/2009,66080,130,($6.88)
6/3/2009,66090,130,($31.90)
6/3/2009,66100,130,($5.16)
6/3/2009,66110,130,($0.43)
6/3/2009,66120,130,($1.93)
6/3/2009,66130,130,($56.91)
6/3/2009,66510,140,($76.48)
6/3/2009,66520,140,($27.23)
6/3/2009,66530,140,($9.17)
6/3/2009,66550,140,($107.48)
6/3/2009,68060,170,($112.08)
6/4/2009,61510,150,($87.72)
6/4/2009,61520,150,($194.92)
6/4/2009,61530,150,($53.61)
6/4/2009,61540,150,($42.60)
6/4/2009,61550,150,($262.79)
6/4/2009,61560,150,($134.70)
6/4/2009,61570,150,($151.71)
6/4/2009,62010,150,($807.38)
6/4/2009,62020,150,($919.69)
6/4/2009,62030,150,($216.92)
6/4/2009,62099,150,$30.20
6/4/2009,62510,120,($496.16)
6/4/2009,62520,120,($256.76)
6/4/2009,62530,120,($80.08)
6/4/2009,62550,120,($50.12)
6/4/2009,62560,120,($13.11)
6/4/2009,63050,150,($6.00)
6/4/2009,64000,150,$202.03
6/4/2009,64010,150,$66.19
6/4/2009,64020,150,$1.84
6/4/2009,65520,110,($30.96)
6/4/2009,65540,110,($271.75)
6/4/2009,65550,110,($720.35)
6/4/2009,65570,110,($6.15)
6/4/2009,65590,110,($58.89)
6/4/2009,65600,110,($244.55)
6/4/2009,65610,110,($449.02)
6/4/2009,65620,110,($188.21)
6/4/2009,65650,110,($564.00)
6/4/2009,65660,110,($192.63)
6/4/2009,65690,110,($66.07)
6/4/2009,65700,110,($447.27)
6/4/2009,65710,110,($621.49)
6/4/2009,65730,110,$1.88
6/4/2009,65740,110,($471.55)
6/4/2009,65750,110,($506.24)
6/4/2009,65760,110,($6.99)
6/4/2009,66010,130,($79.49)
6/4/2009,66020,130,($538.99)
6/4/2009,66030,130,($4.20)
6/4/2009,66040,130,($62.31)
6/4/2009,66050,130,($30.44)
6/4/2009,66070,130,($10.46)
6/4/2009,66080,130,($7.50)
6/4/2009,66090,130,($34.80)
6/4/2009,66100,130,($5.63)
6/4/2009,66110,130,($0.47)
6/4/2009,66120,130,($2.11)
6/4/2009,66130,130,($62.08)
6/4/2009,66510,140,($83.43)
6/4/2009,66520,140,($29.70)
6/4/2009,66530,140,($10.00)
6/4/2009,66550,140,($117.25)
6/4/2009,68060,170,($122.27)
6/4/2009,71010,120,"$2,549.46"
6/4/2009,71020,120,"$1,543.03"
6/4/2009,71030,120,$382.14
6/4/2009,71050,120,$410.02
6/4/2009,71060,120,($61.14)
6/4/2009,71070,120,($15.01)
6/4/2009,71160,150,$269.37
6/4/2009,71170,150,$734.12
6/4/2009,71180,150,$561.70
6/4/2009,71190,150,$162.42
6/4/2009,71200,150,$160.05
6/4/2009,71240,150,$617.38
6/4/2009,71299,150,($34.86)
6/4/2009,71310,150,"$5,332.45"
6/4/2009,71325,150,($680.39)
6/4/2009,71550,150,$691.98
6/4/2009,71560,140,$100.00
6/4/2009,72010,110,"$3,886.73"
6/4/2009,72020,110,"$4,763.97"
6/4/2009,72040,130,"$1,465.76"
6/4/2009,72050,140,$147.69
6/4/2009,72060,150,"$3,424.27"
6/4/2009,72070,150,"$4,125.02"
6/4/2009,72090,150,"$1,259.13"
6/4/2009,72100,150,$672.79
6/4/2009,72110,160,"$3,010.25"
6/4/2009,72120,160,"$3,276.21"
6/4/2009,72130,160,"$3,479.67"
6/4/2009,72140,160,"$1,056.39"
6/4/2009,72150,165,"$2,196.25"
6/4/2009,72160,170,"$1,606.19"
6/4/2009,72999,150,($382.73)
6/4/2009,73010,110,$173.80
6/4/2009,73010,130,$72.50
6/4/2009,73010,140,$77.35
6/4/2009,73010,150,$311.76
6/4/2009,73010,160,$384.68
6/4/2009,73010,165,$94.62
6/4/2009,73010,170,$250.88
6/4/2009,73020,110,$116.70
6/4/2009,73020,130,$37.00
6/4/2009,73020,140,$39.38
6/4/2009,73020,150,$215.44
6/4/2009,73020,160,$208.78
6/4/2009,73020,165,$49.67
6/4/2009,73020,170,$44.58
6/4/2009,73030,110,$625.62
6/4/2009,73030,150,"$1,042.97"
6/4/2009,73030,160,$549.59
6/4/2009,73030,165,$168.80
6/4/2009,73030,170,$55.98
6/4/2009,73040,110,$211.50
6/4/2009,73040,150,$277.50
6/4/2009,73040,160,$126.00
6/4/2009,73040,165,$40.50
6/4/2009,73050,110,$45.14
6/4/2009,73050,130,$14.00
6/4/2009,73050,140,$18.45
6/4/2009,73050,150,$85.40
6/4/2009,73050,160,$89.87
6/4/2009,73050,165,$19.69
6/4/2009,73050,170,$17.67
6/4/2009,80990,110,"$3,276.76"
6/4/2009,81030,160,$111.88
6/4/2009,81050,160,$738.80
6/4/2009,81070,160,$79.06
6/4/2009,81090,160,"$1,311.91"
6/4/2009,81100,160,$194.58
6/4/2009,81110,160,$16.05
6/4/2009,81150,160,$18.49
6/4/2009,81170,160,$40.47
6/4/2009,81180,160,$22.46
6/4/2009,81190,160,$91.37
6/4/2009,81200,160,$133.17
6/4/2009,81210,160,$762.94
6/4/2009,81220,160,$117.22
6/4/2009,81230,160,$243.74
