TranDate,Account,Dept,Sum of Amount
3/1/2009,61510,150,($26.60)
3/1/2009,61520,150,($78.74)
3/1/2009,61530,150,($15.07)
3/1/2009,61540,150,($1.49)
3/1/2009,61550,150,($50.82)
3/1/2009,61560,150,($2.67)
3/1/2009,61570,150,($42.17)
3/1/2009,62010,150,($236.06)
3/1/2009,62020,150,($196.97)
3/1/2009,62030,150,($5.60)
3/1/2009,62099,150,$9.82
3/1/2009,62510,120,($74.85)
3/1/2009,62520,120,($40.72)
3/1/2009,62530,120,($10.83)
3/1/2009,62550,120,($17.42)
3/1/2009,62560,120,($5.81)
3/1/2009,63060,150,$1.29
3/1/2009,64000,150,$99.00
3/1/2009,64010,150,$10.19
3/1/2009,64020,150,$5.83
3/1/2009,65540,110,($123.44)
3/1/2009,65550,110,($35.19)
3/1/2009,65590,110,($12.20)
3/1/2009,65600,110,($39.15)
3/1/2009,65610,110,($8.96)
3/1/2009,65660,110,($6.92)
3/1/2009,65690,110,($55.62)
3/1/2009,65700,110,($103.08)
3/1/2009,65710,110,($439.24)
3/1/2009,65730,110,($2.72)
3/1/2009,65740,110,($349.86)
3/1/2009,65750,110,($446.39)
3/1/2009,65760,110,($5.07)
3/1/2009,66010,130,($1.09)
3/1/2009,66020,130,($65.90)
3/1/2009,66030,130,($3.88)
3/1/2009,66040,130,($2.70)
3/1/2009,66050,130,($23.02)
3/1/2009,66070,130,($2.54)
3/1/2009,66090,130,($6.96)
3/1/2009,66100,130,($3.23)
3/1/2009,66110,130,($0.45)
3/1/2009,66120,130,($1.25)
3/1/2009,66130,130,($49.17)
3/1/2009,66510,140,($12.87)
3/1/2009,66520,140,($8.37)
3/1/2009,66530,140,($23.43)
3/1/2009,66550,140,($20.63)
3/1/2009,68060,170,($34.27)
3/2/2009,61510,150,($24.76)
3/2/2009,61520,150,($73.31)
3/2/2009,61530,150,($14.03)
3/2/2009,61540,150,($1.39)
3/2/2009,61550,150,($47.31)
3/2/2009,61560,150,($2.48)
3/2/2009,61570,150,($39.26)
3/2/2009,62010,150,($219.78)
3/2/2009,62020,150,($183.39)
3/2/2009,62030,150,($5.22)
3/2/2009,62099,150,$9.15
3/2/2009,62510,120,($69.68)
3/2/2009,62520,120,($37.91)
3/2/2009,62530,120,($10.08)
3/2/2009,62550,120,($16.21)
3/2/2009,62560,120,($5.40)
3/2/2009,63060,150,$1.20
3/2/2009,64000,150,$92.18
3/2/2009,64010,150,$9.48
3/2/2009,64020,150,$5.43
3/2/2009,65540,110,($114.92)
3/2/2009,65550,110,($32.76)
3/2/2009,65590,110,($11.36)
3/2/2009,65600,110,($36.45)
3/2/2009,65610,110,($8.34)
3/2/2009,65660,110,($6.44)
3/2/2009,65690,110,($51.79)
3/2/2009,65700,110,($95.97)
3/2/2009,65710,110,($408.95)
3/2/2009,65730,110,($2.53)
3/2/2009,65740,110,($325.73)
3/2/2009,65750,110,($415.61)
3/2/2009,65760,110,($4.72)
3/2/2009,66010,130,($1.01)
3/2/2009,66020,130,($61.36)
3/2/2009,66030,130,($3.62)
3/2/2009,66040,130,($2.51)
3/2/2009,66050,130,($21.43)
3/2/2009,66070,130,($2.37)
3/2/2009,66090,130,($6.48)
3/2/2009,66100,130,($3.01)
3/2/2009,66110,130,($0.42)
3/2/2009,66120,130,($1.16)
3/2/2009,66130,130,($45.78)
3/2/2009,66510,140,($11.99)
3/2/2009,66520,140,($7.79)
3/2/2009,66530,140,($21.82)
3/2/2009,66550,140,($19.21)
3/2/2009,68060,170,($31.90)
3/3/2009,61510,150,($24.76)
3/3/2009,61520,150,($73.31)
3/3/2009,61530,150,($14.03)
3/3/2009,61540,150,($1.39)
3/3/2009,61550,150,($47.31)
3/3/2009,61560,150,($2.48)
3/3/2009,61570,150,($39.26)
3/3/2009,62010,150,($219.78)
3/3/2009,62020,150,($183.39)
3/3/2009,62030,150,($5.22)
3/3/2009,62099,150,$9.15
3/3/2009,62510,120,($69.68)
3/3/2009,62520,120,($37.91)
3/3/2009,62530,120,($10.08)
3/3/2009,62550,120,($16.21)
3/3/2009,62560,120,($5.40)
