TranDate,Account,Dept,Sum of Amount
5/1/2009,61510,150,($75.07)
5/1/2009,61520,150,($224.80)
5/1/2009,61530,150,($75.16)
5/1/2009,61540,150,($18.19)
5/1/2009,61550,150,($234.58)
5/1/2009,61560,150,($96.49)
5/1/2009,61570,150,($123.29)
5/1/2009,62010,150,($704.19)
5/1/2009,62020,150,($984.84)
5/1/2009,62030,150,($106.00)
5/1/2009,62099,150,$31.06
5/1/2009,62510,120,($322.78)
5/1/2009,62520,120,($140.57)
5/1/2009,62530,120,($70.12)
5/1/2009,62540,120,($23.31)
5/1/2009,62550,120,($79.83)
5/1/2009,62560,120,($12.19)
5/1/2009,63050,150,($12.25)
5/1/2009,64000,150,$246.42
5/1/2009,64010,150,$37.62
5/1/2009,64020,150,$5.77
5/1/2009,65520,110,($8.64)
5/1/2009,65540,110,($466.38)
5/1/2009,65550,110,($149.73)
5/1/2009,65570,110,($18.04)
5/1/2009,65590,110,($105.24)
5/1/2009,65600,110,($468.62)
5/1/2009,65610,110,($369.85)
5/1/2009,65620,110,($40.90)
5/1/2009,65650,110,($288.77)
5/1/2009,65660,110,($114.05)
5/1/2009,65690,110,($90.99)
5/1/2009,65700,110,($459.94)
5/1/2009,65710,110,($731.09)
5/1/2009,65730,110,($8.35)
5/1/2009,65740,110,($689.51)
5/1/2009,65750,110,($914.31)
5/1/2009,65760,110,($10.38)
5/1/2009,66010,130,($31.32)
5/1/2009,66020,130,($501.28)
5/1/2009,66030,130,($6.24)
5/1/2009,66040,130,($29.00)
5/1/2009,66050,130,($38.61)
5/1/2009,66070,130,($16.00)
5/1/2009,66080,130,($2.23)
5/1/2009,66090,130,($37.42)
5/1/2009,66100,130,($5.24)
5/1/2009,66110,130,($0.46)
5/1/2009,66120,130,($2.56)
5/1/2009,66130,130,($96.14)
5/1/2009,66510,140,($86.42)
5/1/2009,66520,140,($40.37)
5/1/2009,66530,140,($9.60)
5/1/2009,66550,140,($129.32)
5/1/2009,68050,170,($0.05)
5/1/2009,68060,170,($70.19)
5/2/2009,61510,150,($100.09)
5/2/2009,61520,150,($299.74)
5/2/2009,61530,150,($100.21)
5/2/2009,61540,150,($24.25)
5/2/2009,61550,150,($312.77)
5/2/2009,61560,150,($128.65)
5/2/2009,61570,150,($164.38)
5/2/2009,62010,150,($938.92)
5/2/2009,62020,150,"($1,313.11)"
5/2/2009,62030,150,($141.33)
5/2/2009,62099,150,$41.42
5/2/2009,62510,120,($430.38)
5/2/2009,62520,120,($187.42)
5/2/2009,62530,120,($93.49)
5/2/2009,62540,120,($31.09)
5/2/2009,62550,120,($106.44)
5/2/2009,62560,120,($16.26)
5/2/2009,63050,150,($16.34)
5/2/2009,64000,150,$328.55
5/2/2009,64010,150,$50.16
5/2/2009,64020,150,$7.69
5/2/2009,65520,110,($11.52)
5/2/2009,65540,110,($621.84)
5/2/2009,65550,110,($199.64)
5/2/2009,65570,110,($24.06)
5/2/2009,65590,110,($140.33)
5/2/2009,65600,110,($624.83)
5/2/2009,65610,110,($493.14)
5/2/2009,65620,110,($54.53)
5/2/2009,65650,110,($385.03)
5/2/2009,65660,110,($152.06)
5/2/2009,65690,110,($121.32)
5/2/2009,65700,110,($613.26)
5/2/2009,65710,110,($974.78)
5/2/2009,65730,110,($11.14)
5/2/2009,65740,110,($919.34)
5/2/2009,65750,110,"($1,219.08)"
5/2/2009,65760,110,($13.84)
5/2/2009,66010,130,($41.76)
5/2/2009,66020,130,($668.37)
5/2/2009,66030,130,($8.32)
5/2/2009,66040,130,($38.67)
5/2/2009,66050,130,($51.48)
5/2/2009,66070,130,($21.33)
5/2/2009,66080,130,($2.97)
5/2/2009,66090,130,($49.90)
5/2/2009,66100,130,($6.99)
5/2/2009,66110,130,($0.61)
5/2/2009,66120,130,($3.42)
5/2/2009,66130,130,($128.18)
5/2/2009,66510,140,($115.23)
5/2/2009,66520,140,($53.82)
5/2/2009,66530,140,($12.80)
5/2/2009,66550,140,($172.43)
5/2/2009,68050,170,($0.07)
5/2/2009,68060,170,($93.58)
5/3/2009,61510,150,($70.18)
5/3/2009,61520,150,($155.94)
5/3/2009,61530,150,($42.89)
5/3/2009,61540,150,($34.08)
5/3/2009,61550,150,($210.23)
5/3/2009,61560,150,($107.76)
5/3/2009,61570,150,($121.37)
5/3/2009,62010,150,($645.90)
5/3/2009,62020,150,($735.75)
5/3/2009,62030,150,($173.53)
5/3/2009,62099,150,$24.16
5/3/2009,62510,120,($396.93)
5/3/2009,62520,120,($205.41)
5/3/2009,62530,120,($64.06)
5/3/2009,62550,120,($40.09)
5/3/2009,62560,120,($10.49)
5/3/2009,63050,150,($4.80)
5/3/2009,64000,150,$161.62
5/3/2009,64010,150,$52.95
5/3/2009,64020,150,$1.47
5/3/2009,65520,110,($24.77)
5/3/2009,65540,110,($217.40)
5/3/2009,65550,110,($576.28)
5/3/2009,65570,110,($4.92)
5/3/2009,65590,110,($47.12)
5/3/2009,65600,110,($195.64)
5/3/2009,65610,110,($359.22)
5/3/2009,65620,110,($150.57)
5/3/2009,65650,110,($451.20)
5/3/2009,65660,110,($154.10)
5/3/2009,65690,110,($52.85)
5/3/2009,65700,110,($357.81)
5/3/2009,65710,110,($497.19)
5/3/2009,65730,110,$1.50
5/3/2009,65740,110,($377.24)
5/3/2009,65750,110,($404.99)
5/3/2009,65760,110,($5.59)
5/3/2009,66010,130,($63.59)
5/3/2009,66020,130,($431.19)
5/3/2009,66030,130,($3.36)
5/3/2009,66040,130,($49.85)
5/3/2009,66050,130,($24.35)
5/3/2009,66070,130,($8.37)
5/3/2009,66080,130,($6.00)
5/3/2009,66090,130,($27.84)
5/3/2009,66100,130,($4.51)
5/3/2009,66110,130,($0.37)
5/3/2009,66120,130,($1.69)
5/3/2009,66130,130,($49.66)
5/3/2009,66510,140,($66.75)
5/3/2009,66520,140,($23.76)
5/3/2009,66530,140,($8.00)
5/3/2009,66550,140,($93.80)
5/3/2009,68060,170,($97.81)
5/4/2009,61510,150,($57.02)
5/4/2009,61520,150,($126.70)
5/4/2009,61530,150,($34.85)
5/4/2009,61540,150,($27.69)
5/4/2009,61550,150,($170.81)
5/4/2009,61560,150,($87.55)
5/4/2009,61570,150,($98.61)
5/4/2009,62010,150,($524.79)
5/4/2009,62020,150,($597.80)
5/4/2009,62030,150,($141.00)
5/4/2009,62099,150,$19.63
5/4/2009,62510,120,($322.51)
5/4/2009,62520,120,($166.89)
5/4/2009,62530,120,($52.05)
5/4/2009,62550,120,($32.58)
5/4/2009,62560,120,($8.52)
5/4/2009,63050,150,($3.90)
5/4/2009,64000,150,$131.32
5/4/2009,64010,150,$43.02
5/4/2009,64020,150,$1.20
5/4/2009,65520,110,($20.12)
5/4/2009,65540,110,($176.64)
5/4/2009,65550,110,($468.22)
5/4/2009,65570,110,($4.00)
5/4/2009,65590,110,($38.28)
5/4/2009,65600,110,($158.96)
5/4/2009,65610,110,($291.86)
5/4/2009,65620,110,($122.33)
5/4/2009,65650,110,($366.60)
5/4/2009,65660,110,($125.21)
5/4/2009,65690,110,($42.94)
5/4/2009,65700,110,($290.72)
5/4/2009,65710,110,($403.97)
5/4/2009,65730,110,$1.22
5/4/2009,65740,110,($306.50)
5/4/2009,65750,110,($329.06)
5/4/2009,65760,110,($4.54)
5/4/2009,66010,130,($51.67)
5/4/2009,66020,130,($350.34)
5/4/2009,66030,130,($2.73)
5/4/2009,66040,130,($40.50)
5/4/2009,66050,130,($19.78)
5/4/2009,66070,130,($6.80)
5/4/2009,66080,130,($4.88)
5/4/2009,66090,130,($22.62)
5/4/2009,66100,130,($3.66)
5/4/2009,66110,130,($0.30)
5/4/2009,66120,130,($1.37)
5/4/2009,66130,130,($40.35)
5/4/2009,66510,140,($54.23)
5/4/2009,66520,140,($19.31)
5/4/2009,66530,140,($6.50)
5/4/2009,66550,140,($76.21)
5/4/2009,68060,170,($79.47)
5/5/2009,61510,150,($52.63)
5/5/2009,61520,150,($116.95)
5/5/2009,61530,150,($32.17)
5/5/2009,61540,150,($25.56)
5/5/2009,61550,150,($157.67)
5/5/2009,61560,150,($80.82)
5/5/2009,61570,150,($91.03)
5/5/2009,62010,150,($484.43)
5/5/2009,62020,150,($551.81)
5/5/2009,62030,150,($130.15)
5/5/2009,62099,150,$18.12
5/5/2009,62510,120,($297.70)
5/5/2009,62520,120,($154.05)
5/5/2009,62530,120,($48.05)
5/5/2009,62550,120,($30.07)
5/5/2009,62560,120,($7.87)
5/5/2009,63050,150,($3.60)
5/5/2009,64000,150,$121.22
5/5/2009,64010,150,$39.71
5/5/2009,64020,150,$1.11
5/5/2009,65520,110,($18.58)
5/5/2009,65540,110,($163.05)
5/5/2009,65550,110,($432.21)
5/5/2009,65570,110,($3.69)
5/5/2009,65590,110,($35.34)
5/5/2009,65600,110,($146.73)
5/5/2009,65610,110,($269.41)
5/5/2009,65620,110,($112.92)
5/5/2009,65650,110,($338.40)
5/5/2009,65660,110,($115.58)
5/5/2009,65690,110,($39.64)
5/5/2009,65700,110,($268.36)
5/5/2009,65710,110,($372.90)
5/5/2009,65730,110,$1.13
5/5/2009,65740,110,($282.93)
5/5/2009,65750,110,($303.74)
5/5/2009,65760,110,($4.19)
5/5/2009,66010,130,($47.69)
