TranDate,Account,Dept,Sum of Amount
2/1/2008,61510,150,($20.82)
2/1/2008,61520,150,($44.06)
2/1/2008,61530,150,($8.48)
2/1/2008,61540,150,($0.23)
2/1/2008,61550,150,($38.41)
2/1/2008,61560,150,($1.08)
2/1/2008,61570,150,($61.63)
2/1/2008,62010,150,($244.76)
2/1/2008,62020,150,($76.12)
2/1/2008,62099,150,$7.03
2/1/2008,62510,120,($45.39)
2/1/2008,62520,120,($32.98)
2/1/2008,62530,120,($2.78)
2/1/2008,62550,120,($7.17)
2/1/2008,62560,120,($0.37)
2/1/2008,63050,150,($5.74)
2/1/2008,64000,150,$149.41
2/1/2008,64010,150,$10.98
2/1/2008,64020,150,$3.72
2/1/2008,65540,110,($54.69)
2/1/2008,65550,110,($6.97)
2/1/2008,65590,110,($3.51)
2/1/2008,65600,110,($11.99)
2/1/2008,65610,110,($3.24)
2/1/2008,65690,110,($11.60)
2/1/2008,65700,110,($3.79)
2/1/2008,65710,110,($505.74)
2/1/2008,65730,110,($13.50)
2/1/2008,65740,110,($372.47)
2/1/2008,65750,110,($572.84)
2/1/2008,65760,110,($5.64)
2/1/2008,66010,130,($0.62)
2/1/2008,66020,130,($9.34)
2/1/2008,66030,130,($0.51)
2/1/2008,66040,130,($0.81)
2/1/2008,66050,130,($36.67)
2/1/2008,66070,130,($0.97)
2/1/2008,66080,130,($0.68)
2/1/2008,66100,130,($4.86)
2/1/2008,66110,130,($0.54)
2/1/2008,66120,130,($2.03)
2/1/2008,66130,130,($65.81)
2/1/2008,66510,140,($5.19)
2/1/2008,66520,140,($3.24)
2/1/2008,66530,140,($3.51)
2/1/2008,68050,170,($2.25)
2/2/2008,61510,150,($27.77)
2/2/2008,61520,150,($58.74)
2/2/2008,61530,150,($11.31)
2/2/2008,61540,150,($0.31)
2/2/2008,61550,150,($51.22)
2/2/2008,61560,150,($1.44)
2/2/2008,61570,150,($82.17)
2/2/2008,62010,150,($326.34)
2/2/2008,62020,150,($101.50)
2/2/2008,62099,150,$9.38
2/2/2008,62510,120,($60.52)
2/2/2008,62520,120,($43.97)
2/2/2008,62530,120,($3.71)
2/2/2008,62550,120,($9.56)
2/2/2008,62560,120,($0.49)
2/2/2008,63050,150,($7.65)
2/2/2008,64000,150,$199.21
2/2/2008,64010,150,$14.65
2/2/2008,64020,150,$4.96
2/2/2008,65540,110,($72.92)
2/2/2008,65550,110,($9.29)
2/2/2008,65590,110,($4.68)
2/2/2008,65600,110,($15.98)
2/2/2008,65610,110,($4.32)
2/2/2008,65690,110,($15.46)
2/2/2008,65700,110,($5.05)
2/2/2008,65710,110,($674.33)
2/2/2008,65730,110,($18.00)
