TranDate,Account,Dept,Sum of Amount
1/2/2008,61510,150,($26.03)
1/2/2008,61520,150,($55.07)
1/2/2008,61530,150,($10.60)
1/2/2008,61540,150,($0.29)
1/2/2008,61550,150,($48.02)
1/2/2008,61560,150,($1.35)
1/2/2008,61570,150,($77.04)
1/2/2008,62010,150,($305.95)
1/2/2008,62020,150,($95.15)
1/2/2008,62099,150,$8.79
1/2/2008,62510,120,($56.74)
1/2/2008,62520,120,($41.22)
1/2/2008,62530,120,($3.48)
1/2/2008,62550,120,($8.97)
1/2/2008,62560,120,($0.46)
1/2/2008,63050,150,($7.17)
1/2/2008,64000,150,$186.76
1/2/2008,64010,150,$13.73
1/2/2008,64020,150,$4.65
1/2/2008,65540,110,($68.36)
1/2/2008,65550,110,($8.71)
1/2/2008,65590,110,($4.39)
1/2/2008,65600,110,($14.99)
1/2/2008,65610,110,($4.05)
1/2/2008,65690,110,($14.50)
1/2/2008,65700,110,($4.73)
1/2/2008,65710,110,($632.18)
1/2/2008,65730,110,($16.88)
1/2/2008,65740,110,($465.59)
1/2/2008,65750,110,($716.05)
1/2/2008,65760,110,($7.05)
1/2/2008,66010,130,($0.78)
1/2/2008,66020,130,($11.68)
1/2/2008,66030,130,($0.64)
1/2/2008,66040,130,($1.01)
1/2/2008,66050,130,($45.84)
1/2/2008,66070,130,($1.22)
1/2/2008,66080,130,($0.85)
1/2/2008,66100,130,($6.08)
1/2/2008,66110,130,($0.68)
1/2/2008,66120,130,($2.53)
1/2/2008,66130,130,($82.27)
1/2/2008,66510,140,($6.49)
1/2/2008,66520,140,($4.05)
1/2/2008,66530,140,($4.39)
1/2/2008,68050,170,($2.81)
1/3/2008,61510,150,($26.03)
1/3/2008,61520,150,($55.07)
1/3/2008,61530,150,($10.60)
1/3/2008,61540,150,($0.29)
1/3/2008,61550,150,($48.02)
1/3/2008,61560,150,($1.35)
1/3/2008,61570,150,($77.04)
1/3/2008,62010,150,($305.95)
1/3/2008,62020,150,($95.15)
1/3/2008,62099,150,$8.79
1/3/2008,62510,120,($56.74)
1/3/2008,62520,120,($41.22)
1/3/2008,62530,120,($3.48)
1/3/2008,62550,120,($8.97)
1/3/2008,62560,120,($0.46)
1/3/2008,63050,150,($7.17)
1/3/2008,64000,150,$186.76
1/3/2008,64010,150,$13.73
1/3/2008,64020,150,$4.65
1/3/2008,65540,110,($68.36)
1/3/2008,65550,110,($8.71)
1/3/2008,65590,110,($4.39)
1/3/2008,65600,110,($14.99)
1/3/2008,65610,110,($4.05)
1/3/2008,65690,110,($14.50)
1/3/2008,65700,110,($4.73)
1/3/2008,65710,110,($632.18)
1/3/2008,65730,110,($16.88)
1/3/2008,65740,110,($465.59)
1/3/2008,65750,110,($716.05)
1/3/2008,65760,110,($7.05)
1/3/2008,66010,130,($0.78)
1/3/2008,66020,130,($11.68)
1/3/2008,66030,130,($0.64)
1/3/2008,66040,130,($1.01)
