TranDate,Account,Dept,Sum of Amount
3/1/2008,61510,150,($137.06)
3/1/2008,61520,150,($287.81)
3/1/2008,61530,150,($73.81)
3/1/2008,61540,150,($2.23)
3/1/2008,61550,150,($149.18)
3/1/2008,61560,150,($2.33)
3/1/2008,61570,150,($191.37)
3/1/2008,62010,150,($786.93)
3/1/2008,62020,150,($708.66)
3/1/2008,62099,150,$30.79
3/1/2008,62510,120,($101.07)
3/1/2008,62520,120,($29.46)
3/1/2008,62530,120,($14.20)
3/1/2008,62550,120,($30.10)
3/1/2008,62560,120,($0.44)
3/1/2008,63050,150,($96.93)
3/1/2008,63060,150,$3.99
3/1/2008,64000,150,$343.82
3/1/2008,64010,150,$93.31
3/1/2008,64020,150,$8.00
3/1/2008,65540,110,($270.74)
3/1/2008,65550,110,($76.63)
3/1/2008,65590,110,($42.12)
3/1/2008,65600,110,($58.28)
3/1/2008,65690,110,($42.23)
3/1/2008,65700,110,($17.41)
3/1/2008,65710,110,($842.91)
3/1/2008,65730,110,($22.50)
3/1/2008,65740,110,($626.79)
3/1/2008,65750,110,($954.73)
3/1/2008,65760,110,($9.40)
3/1/2008,65900,170,($33.75)
3/1/2008,66010,130,($8.28)
3/1/2008,66020,130,($79.43)
3/1/2008,66030,130,($0.86)
3/1/2008,66040,130,($3.38)
3/1/2008,66050,130,($61.13)
3/1/2008,66070,130,($6.13)
3/1/2008,66080,130,($5.63)
3/1/2008,66100,130,($8.10)
3/1/2008,66110,130,($0.90)
3/1/2008,66120,130,($3.38)
3/1/2008,66130,130,($109.69)
3/1/2008,66510,140,($25.02)
3/1/2008,66520,140,($23.40)
3/1/2008,66530,140,($23.40)
3/1/2008,68050,170,($6.44)
3/2/2008,61510,150,($39.11)
3/2/2008,61520,150,($103.63)
3/2/2008,61530,150,($31.23)
3/2/2008,61540,150,($2.31)
3/2/2008,61550,150,($97.40)
3/2/2008,61560,150,($5.71)
3/2/2008,61570,150,($104.15)
3/2/2008,62010,150,($503.08)
3/2/2008,62020,150,($214.60)
3/2/2008,62030,150,($0.34)
3/2/2008,62099,150,$13.78
3/2/2008,62510,120,($81.73)
3/2/2008,62520,120,($28.46)
3/2/2008,62530,120,($13.61)
3/2/2008,62550,120,($27.83)
3/2/2008,62560,120,($8.00)
3/2/2008,63050,150,($1.50)
3/2/2008,64000,150,$162.76
3/2/2008,64010,150,$11.64
3/2/2008,64020,150,$4.40
3/2/2008,65540,110,($331.10)
3/2/2008,65550,110,($35.71)
3/2/2008,65570,110,($2.44)
3/2/2008,65590,110,($33.51)
3/2/2008,65600,110,($167.23)
3/2/2008,65610,110,($23.99)
3/2/2008,65660,110,($12.58)
3/2/2008,65690,110,($35.67)
3/2/2008,65700,110,($159.85)
3/2/2008,65710,110,($492.36)
3/2/2008,65730,110,($10.20)
3/2/2008,65740,110,($329.57)
3/2/2008,65750,110,($436.71)
3/2/2008,65760,110,($2.36)
3/2/2008,65770,110,$0.44
3/2/2008,65900,170,($48.94)
3/2/2008,66010,130,($3.63)
3/2/2008,66020,130,($137.55)
3/2/2008,66030,130,($1.72)
3/2/2008,66040,130,($5.70)
3/2/2008,66050,130,($30.18)
3/2/2008,66070,130,($7.60)
3/2/2008,66080,130,($1.63)
3/2/2008,66090,130,($6.85)
3/2/2008,66100,130,($3.74)
3/2/2008,66110,130,($0.45)
3/2/2008,66120,130,($1.18)
3/2/2008,66130,130,($53.34)
3/2/2008,66510,140,($25.10)
3/2/2008,66520,140,($25.32)
3/2/2008,66530,140,($18.27)
3/2/2008,66550,140,($11.61)
3/2/2008,68050,170,($0.02)
3/3/2008,61510,150,($36.41)
3/3/2008,61520,150,($96.48)
3/3/2008,61530,150,($29.08)
