ZIP,City,State
98001,Auburn,WA
98002,Auburn,WA
98003,Federal Way,WA
98004,Bellevue,WA
98005,Bellevue,WA
98006,Bellevue,WA
98007,Bellevue,WA
98008,Bellevue,WA
98010,Black Diamond,WA
98011,Bothell,WA
98012,Bothell,WA
98014,Carnation,WA
98019,Duvall,WA
98020,Edmonds,WA
98021,Bothell,WA
98022,Enumclaw,WA
98023,Federal Way,WA
98024,Fall City,WA
98026,Edmonds,WA
98027,Issaquah,WA
98028,Kenmore,WA
98029,Issaquah,WA
98030,Kent,WA
98031,Kent,WA
98032,Kent,WA
98033,Kirkland,WA
98034,Kirkland,WA
98036,Lynnwood,WA
98037,Lynnwood,WA
98038,Maple Valley,WA
98039,Medina,WA
98040,Mercer Island,WA
98042,Kent,WA
98043,Mountlake Terrace,WA
98045,North Bend,WA
98047,Pacific,WA
98051,Ravensdale,WA
98052,Redmond,WA
98053,Redmond,WA
98055,Renton,WA
98056,Renton,WA
98058,Renton,WA
98059,Renton,WA
98065,Snoqualmie,WA
98070,Vashon,WA
98072,Woodinville,WA
98074,Sammamish,WA
98075,Sammamish,WA
98077,Woodinville,WA
98092,Auburn,WA
98101,Seattle,WA
98102,Seattle,WA
98103,Seattle,WA
98104,Seattle,WA
98105,Seattle,WA
98106,Seattle,WA
98107,Seattle,WA
98108,Seattle,WA
98109,Seattle,WA
98110,Bainbridge Island,WA
98112,Seattle,WA
98115,Seattle,WA
98116,Seattle,WA
98117,Seattle,WA
98118,Seattle,WA
98119,Seattle,WA
98121,Seattle,WA
98122,Seattle,WA
98125,Seattle,WA
98126,Seattle,WA
98131,Seattle,WA
98132,Seattle,WA
98133,Seattle,WA
98134,Seattle,WA
98136,Seattle,WA
98144,Seattle,WA
98146,Seattle,WA
98148,Seattle,WA
98154,Seattle,WA
98155,Seattle,WA
98158,Seattle,WA
98161,Seattle,WA
98164,Seattle,WA
98166,Seattle,WA
98168,Seattle,WA
98174,Seattle,WA
98177,Seattle,WA
98178,Seattle,WA
98188,Seattle,WA
98198,Seattle,WA
98199,Seattle,WA
98201,Everett,WA
98203,Everett,WA
98204,Everett,WA
98205,Everett,WA
98208,Everett,WA
98220,Acme,WA
98221,Anacortes,WA
98222,Blakely Island,WA
98223,Arlington,WA
98225,Bellingham,WA
98226,Bellingham,WA
98229,Bellingham,WA
98230,Blaine,WA
98232,Bow,WA
98233,Burlington,WA
98236,Clinton,WA
98237,Concrete,WA
98239,Coupeville,WA
98240,Custer,WA
98241,Darrington,WA
98244,Deming,WA
98245,Eastsound,WA
98247,Everson,WA
98248,Ferndale,WA
98249,Freeland,WA
98250,Friday Harbor,WA
98251,Gold Bar,WA
98252,Granite Falls,WA
98253,Greenbank,WA
98257,La Conner,WA
98258,Lake Stevens,WA
98260,Langley,WA
98261,Lopez Island,WA
98262,Lummi Island,WA
98264,Lynden,WA
98266,Maple Falls,WA
98267,Marblemount,WA
98270,Marysville,WA
98271,Marysville,WA
98272,Monroe,WA
98273,Mount Vernon,WA
98274,Mount Vernon,WA
98275,Mukilteo,WA
98277,Oak Harbor,WA
98279,Olga,WA
98281,Point Roberts,WA
98282,Camano Island,WA
98283,Rockport,WA
98284,Sedro Woolley,WA
98290,Snohomish,WA
98292,Stanwood,WA
98294,Sultan,WA
98295,Sumas,WA
98296,Snohomish,WA
98303,Anderson Island,WA
98304,Ashford,WA
98305,Beaver,WA
98310,Bremerton,WA
98311,Bremerton,WA
98312,Bremerton,WA
98315,Silverdale,WA
98320,Brinnon,WA
98321,Buckley,WA
98323,Carbonado,WA
98325,Chimacum,WA
98326,Clallam Bay,WA
98327,Dupont,WA
98328,Eatonville,WA
98329,Gig Harbor,WA
98330,Elbe,WA
98331,Forks,WA
98332,Gig Harbor,WA
98333,Fox Island,WA
98335,Gig Harbor,WA
98336,Glenoma,WA
98337,Bremerton,WA
98338,Graham,WA
98339,Port Hadlock,WA
98340,Hansville,WA
98342,Indianola,WA
98346,Kingston,WA
